Straat,Huisnr,huisletter,postcode,Plaats,Status,Omschrijving,UniekNummer
7 Januaristraat,10,,6227 BC,Maastricht,kenmerkend,vier portiekflats,GM-294
7 Januaristraat,49,,6227 BB,Maastricht,kenmerkend,vier portiekflats,GM-295
Aalmoezenier Roumenplein,26,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-969
Aalmoezenier Roumenplein,40,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-970
Aalmoezenier Roumenplein,42,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-750
Aalmoezenier Roumenplein,44,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-751
Aalmoezenier Roumenplein,46,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-752
Aalmoezenier Roumenplein,47,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-753
Aalmoezenier Roumenplein,48,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-754
Aalmoezenier Roumenplein,49,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-755
Aalmoezenier Roumenplein,51,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-756
Aalmoezenier Roumenplein,52,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-757
Aalmoezenier Roumenplein,53,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-758
Aalmoezenier Roumenplein,54,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-759
Aalmoezenier Roumenplein,55,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-760
Aalmoezenier Roumenplein,59,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-761
Aalmoezenier Roumenplein,61,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-762
Aalmoezenier Roumenplein,63,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-763
Aalmoezenier Roumenplein,65,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-764
Aalmoezenier Roumenplein,66,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-765
Aalmoezenier Roumenplein,67,,6221 TM,Maastricht,kenmerkend,complex H. Koene,GM-766
Aalmoezenier Roumenplein,68,,6221 TN,Maastricht,kenmerkend,complex H. Koene,GM-767
Aalmoezenier Roumenstraat,1,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-770
Aalmoezenier Roumenstraat,2,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-768
Aalmoezenier Roumenstraat,3,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-778
Aalmoezenier Roumenstraat,5,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-769
Aalmoezenier Roumenstraat,6,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-771
Aalmoezenier Roumenstraat,7,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-772
Aalmoezenier Roumenstraat,8,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-773
Aalmoezenier Roumenstraat,9,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-774
Aalmoezenier Roumenstraat,10,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-775
Aalmoezenier Roumenstraat,12,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-776
Aalmoezenier Roumenstraat,13,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-777
Aalmoezenier Roumenstraat,14,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-779
Aalmoezenier Roumenstraat,15,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-780
Aalmoezenier Roumenstraat,16,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-781
Aalmoezenier Roumenstraat,17,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-782
Aalmoezenier Roumenstraat,18,,6221 TR,Maastricht,kenmerkend,complex H. Koene,GM-783
